Symbol,Exchange,"Change 1m, %","Change 5m, %","Change 15m, %","Change 1h, %","Change 4h, %",Change %,Weekly Performance,Monthly Performance,3-Month Performance,6-Month Performance,YTD Performance,Yearly Performance,1-Year Beta,Volatility
1492,HKEX,0,0,0,0,0,0,-3.44827586,0,1.81818182,190.9090909,-0.88495575,49.33333333,-0.30555302,0
503,HKEX,0,0.97560976,0.97560976,0.97560976,-1.42857143,0,2.47524752,25.45454545,179.7297297,183.5616438,1.97044335,137.9310345,0.4413279,4.47761194
999,HKEX,0,0,0,0,0,0,2.17391304,1.80505415,171.1538462,179.2079208,1.07526882,42.42424242,0.7932433,0.35460993
2208,HKEX,-0.11286682,0,0,0.91220068,-3.27868852,-0.11286682,0.45402381,14.48900388,84.56725756,178.3018868,13.6071887,97.76536313,1.4563348,7.14285714
2399,HKEX,0,0,0,0.28985507,1.16959064,0,6.13496933,5.16717325,206.1946903,176.8,2.36686391,47.23404255,-0.5219716,2.63929619
1108,HKEX,0.39473684,0.39473684,-0.26143791,2.00534759,-4.625,0.39473684,-9.8108747,17.20430108,146.1290323,176.4492754,-6.49509804,184.7014925,1.8513309,14.18636996
1316,HKEX,-0.3058104,-0.3058104,0,0.30769231,-4.81751825,-0.3058104,-0.76103501,34.7107438,88.98550725,173.3752621,56.54261705,100.3072197,2.444005,9.56937799
916,HKEX,0,0.16638935,-0.66006601,-0.49586777,-6.37636081,0,-5.49450549,60.96256684,125.891182,169.955157,54.95495495,136.0784314,1.4762769,7.88590604
3606,HKEX,0,-0.08510638,-0.42408821,-0.84459459,0.68610635,0,7.41079204,40.43062537,106.6901409,167.4259559,37.7934337,136.6935579,1.2449625,6.78571429
438,HKEX,0.45454545,0.45454545,0.91324201,1.37614679,23.46368715,0.45454545,34.75609756,79.67479675,123.2323232,166.2650602,100.9090909,250.7936508,1.0747075,37.27810651
285,HKEX,-0.16949153,0,0.25531915,0.25531915,-3.125,-0.16949153,7.678243,55.40896278,56.85752748,154.978355,45.07389877,224.6968206,1.4314392,12.52268603
1691,HKEX,0,0.21668472,-0.32327586,-0.85744909,-1.49094782,0,-5.51583248,23.99463807,19.04761905,154.8209366,23.49799733,232.733813,2.1507907,8.86363636
460,HKEX,0.51020408,-0.50505051,-0.50505051,1.54639175,4.78723404,0.51020408,49.24242424,146.25,111.827957,152.5641026,140.2439024,105.2083333,1.5832435,22.2826087
1117,HKEX,-0.3968254,-0.79051383,-0.3968254,0,-1.953125,-0.3968254,-13.14878893,45.93023256,139.0476191,148.5148515,34.94623656,124.1071429,1.3967813,9.24369748
2298,HKEX,0,0,0,0,-3.84615385,0,0,-6.71641791,20.19230769,140.3846154,-3.10077519,4.16666667,0.92418903,5.69105691
3798,HKEX,0.44776119,0,-0.14836795,0.29806259,-1.02941176,0.44776119,7.8525641,31.70254403,21.04316547,140.3571429,27.94676806,153.0075188,0.7688564,4.06626506
1302,HKEX,-0.19083969,-0.19083969,0,0.57692308,-4.5620438,-0.19083969,10.57082452,29.77667494,155.1219512,139.9082569,17.52808989,255.7823129,1.0294256,9.8
1308,HKEX,0.54466231,0.32608696,0,0.65430752,-4.84536082,0.54466231,-8.61386591,8.9728389,50.57096248,131.3283208,10.27479092,92.69311065,1.3882405,7.41971207
